CS Value,CS Voltage,Time (ms)
6154.0,0.334,0
1673.0,0.2945,101
2894.0,0.33237500000000003,202
2734.0,0.33525,303
2818.0,0.386375,404
2904.0,0.340625,505
2579.0,0.34575,606
2607.0,0.34425,707
2420.0,0.3235,808
3063.0,0.377125,909
2743.0,0.3355,1010
2711.0,0.3385,1111
2730.0,0.34125,1212
2716.0,0.34,1313
2702.0,0.340375,1414
2708.0,0.3415,1515
2516.0,0.30925,1616
2432.0,0.297875,1717
2386.0,0.3005,1818
2384.0,0.30175,1919
2410.0,0.298875,2020
2402.0,0.2975,2121
2370.0,0.30062500000000003,2222
2396.0,0.30162500000000003,2323
2410.0,0.297375,2424
2378.0,0.299,2525
2375.0,0.301875,2626
2395.0,0.29862500000000003,2727
2399.0,0.2965,2828
2366.0,0.3,2929
2387.0,0.3005,3029
2405.0,0.295125,3131
2385.0,0.297375,3232
2366.0,0.299875,3333
2389.0,0.296125,3434
2395.0,0.2945,3535
2359.0,0.2985,3636
2376.0,0.299,3737
2394.0,0.294,3838
2365.0,0.29712500000000003,3939
2356.0,0.29925,4040
2383.0,0.295375,4141
2379.0,0.29475,4242
2340.0,0.297875,4343
2374.0,0.29762500000000003,4444
2385.0,0.293625,4545
2350.0,0.29712500000000003,4646
2359.0,0.29812500000000003,4747
2383.0,0.293625,4848
2362.0,0.293875,4949
2353.0,0.29775,5050
2378.0,0.295375,5151
2377.0,0.292375,5252
2343.0,0.29625,5353
2363.0,0.297,5454
