PT Value,PT Voltage,Time (ms)
1969.0,0.2485,0
2337.0,0.29625,101
2758.0,0.34925,202
3183.0,0.4025,303
3614.0,0.45625,404
4033.0,0.508875,505
4447.0,0.56075,606
4885.0,0.61475,707
5296.0,0.66625,808
5704.0,0.718,909
6129.0,0.77125,1010
6559.0,0.82475,1111
6984.0,0.878,1212
7424.0,0.931875,1313
7833.0,0.983125,1414
8253.0,1.036125,1515
8679.0,1.089,1616
9103.0,1.142125,1717
9521.0,1.19425,1818
9940.0,1.246125,1919
10354.0,1.2982500000000001,2020
10773.0,1.351,2121
11218.0,1.407375,2222
11643.0,1.4601250000000001,2323
12058.0,1.512,2424
12488.0,1.5655000000000001,2525
12904.0,1.6167500000000001,2626
13325.0,1.67025,2727
13750.0,1.723125,2828
14162.0,1.7745,2929
14577.0,1.826,3030
15013.0,1.8795,3131
15435.0,1.932,3232
15865.0,1.984625,3333
16282.0,2.0380000000000003,3434
16717.0,2.09125,3535
17124.0,2.142875,3636
17554.0,2.197,3737
17970.0,2.249375,3838
18381.0,2.30375,3939
18823.0,2.35625,4040
19246.0,2.409875,4141
19663.0,2.463,4242
20094.0,2.516125,4343
20512.0,2.568625,4444
20923.0,2.621125,4545
21357.0,2.67525,4646
21787.0,2.7275,4747
22197.0,2.77725,4848
22627.0,2.83025,4949
